station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-4.0, 100.0, None, None, -5.0, 6.0, 1987-02-06 18:00:00, None, None, None
-10.0, 90.0, None, None, -11.0, -4.0, 1987-02-07 06:00:00, None, None, None
-3.0, 100.0, None, None, -10.0, 5.5, 1987-02-07 18:00:00, None, None, None
-5.0, 90.0, None, None, -7.0, -3.0, 1987-02-08 06:00:00, None, None, None
2.0, 85.0, None, None, -5.0, 7.0, 1987-02-08 18:00:00, None, None, None
-1.0, 90.0, None, None, -1.0, 2.0, 1987-02-09 06:00:00, None, None, None
-2.0, 85.0, None, None, -2.0, 7.0, 1987-02-09 18:00:00, None, None, None
-1.0, None, None, None, -2.0, 1.0, 1987-02-10 06:00:00, None, None, None
-1.0, 95.0, None, 16.0, -25.5, 7.0, 1987-02-10 07:30:00, None, None, 74.0
1.0, 93.0, None, None, -1.0, 5.5, 1987-02-10 18:00:00, None, None, None
-1.0, 98.0, None, None, -2.0, 1.0, 1987-02-11 06:00:00, None, None, None
-2.0, 98.0, None, None, -2.0, 3.0, 1987-02-11 18:00:00, None, None, None
-4.0, 90.0, None, None, -5.5, -2.0, 1987-02-12 06:00:00, None, None, None
-2.0, 95.0, None, None, -4.0, 0.5, 1987-02-12 18:00:00, None, None, None
-2.0, 96.0, None, None, -2.0, -1.0, 1987-02-13 06:00:00, None, None, None
-2.0, 97.0, None, None, -2.0, -1.0, 1987-02-13 18:00:00, None, None, None
-4.0, 73.0, None, None, -4.0, -1.0, 1987-02-14 06:00:00, None, None, None
-8.0, 95.0, None, None, -8.0, 1.0, 1987-02-14 18:00:00, None, None, None
-4.0, 95.0, None, None, -8.5, -3.5, 1987-02-15 06:00:00, None, None, None
-3.5, 100.0, None, None, -4.0, -2.0, 1987-02-15 18:00:00, None, None, None
-4.0, 90.0, None, None, -9.0, -3.5, 1987-02-16 06:00:00, None, None, None
-2.0, 94.0, None, None, -4.0, -0.5, 1987-02-16 18:00:00, None, None, None
-10.0, 78.0, None, None, -10.0, -2.0, 1987-02-17 06:00:00, None, None, None
-5.0, 100.0, None, None, -10.5, -3.0, 1987-02-17 18:00:00, None, None, None
-12.0, 84.0, None, None, -15.0, -5.0, 1987-02-18 06:00:00, None, None, None
-4.0, 95.0, None, None, -12.5, -2.5, 1987-02-18 18:00:00, None, None, None
-5.0, 81.0, None, None, -6.0, -4.0, 1987-02-19 06:00:00, None, None, None
-1.0, 95.0, None, None, -6.5, 0.0, 1987-02-19 18:00:00, None, None, None
1.0, 60.0, None, None, -9.5, 1.0, 1987-02-20 06:00:00, None, None, None
0.0, 98.0, None, None, 0.0, 4.0, 1987-02-20 18:00:00, None, None, None
-8.0, 100.0, None, None, -8.0, 0.0, 1987-02-21 06:00:00, None, None, None
-5.0, 100.0, None, None, -8.0, -4.0, 1987-02-21 18:00:00, None, None, None
-8.0, 100.0, None, None, -12.5, -5.0, 1987-02-22 06:00:00, None, None, None
-6.0, 100.0, None, None, -8.5, -4.5, 1987-02-22 18:00:00, None, None, None
-8.0, 97.0, None, None, -8.0, -6.0, 1987-02-23 06:00:00, None, None, None
-6.0, 99.0, None, None, -8.0, -5.0, 1987-02-23 18:00:00, None, None, None
-14.0, 85.0, None, None, -15.0, -1.0, 1987-02-24 06:00:00, None, None, None
