station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
-5.0, None, None, 10.0, None, None, None, 1977-11-26 08:00:00, None, None, None, 54.0
0.0, None, None, None, None, None, None, 1977-11-26 15:00:00, None, None, None, None
0.0, None, None, 6.0, None, None, None, 1977-11-27 08:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-11-27 15:00:00, None, None, None, None
0.0, None, None, 7.0, None, None, None, 1977-11-28 08:00:00, None, None, None, None
3.0, None, None, None, None, None, None, 1977-11-28 16:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-11-29 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-11-29 16:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1977-11-30 08:00:00, None, None, None, None
0.0, None, None, 1.0, None, None, None, 1977-11-30 16:00:00, None, None, None, None
-2.0, None, None, 1.0, None, None, None, 1977-12-01 08:00:00, None, None, None, 25.0
-2.0, None, None, 10.0, None, None, None, 1977-12-01 16:00:00, None, None, None, 35.0
-3.0, None, None, 6.0, None, None, None, 1977-12-02 08:00:00, None, None, None, 35.0
0.0, None, None, 7.0, None, None, None, 1977-12-02 16:00:00, None, None, None, 37.0
-3.0, None, None, 10.0, None, None, None, 1977-12-03 08:00:00, None, None, None, 43.0
1.0, None, None, None, None, None, None, 1977-12-03 15:00:00, None, None, None, 43.0
-3.0, None, None, 4.0, None, None, None, 1977-12-04 08:00:00, None, None, None, 41.0
-5.0, None, None, 3.0, None, None, None, 1977-12-04 15:00:00, None, None, None, 40.0
-13.0, None, None, 2.0, None, None, None, 1977-12-05 08:00:00, None, None, None, 40.0
-10.0, None, None, None, None, None, None, 1977-12-05 16:00:00, None, None, None, 40.0
-10.0, None, None, 24.0, None, None, None, 1977-12-06 08:00:00, None, None, None, 50.0
